time,area,uf
2018,23.667546455318313,AMAPÁ
2018,92.76107676827412,MARANHÃO
2018,461.2486973347689,ACRE
2018,6.325568317063566,TOCANTINS
2018,1363.3121395089508,MATO GROSSO
2018,2668.878525961515,PARÁ
2018,129.4313380517573,RORAIMA
2018,1062.2770537850554,AMAZONAS
2018,1225.148280355537,RONDÔNIA
2017,16.71440418103588,AMAPÁ
2017,150.22193987776893,MARANHÃO
2017,245.6640602168719,ACRE
2017,12.742589596109324,TOCANTINS
2017,1273.1082319442596,MATO GROSSO
2017,2563.6457908939847,PARÁ
2017,121.71194820072382,RORAIMA
2017,1009.0613639314918,AMAZONAS
2017,1278.1173614940626,RONDÔNIA
2016,12.180840253108384,AMAPÁ
2016,129.43527372830638,MARANHÃO
2016,364.55454398531333,ACRE
2016,18.265837288176797,TOCANTINS
2016,1313.1554134475898,MATO GROSSO
2016,2745.8407927141843,PARÁ
2016,226.76015597409096,RORAIMA
2016,1002.2201685129359,AMAZONAS
2016,1192.8024741272536,RONDÔNIA
2015,152.58591467219838,RORAIMA
2015,110.51185101952562,MARANHÃO
2015,222.60193708519185,ACRE
2015,15.951333240601349,TOCANTINS
2015,1366.0549587664655,MATO GROSSO
2015,2281.5435375039415,PARÁ
2015,18.60266891283912,AMAPÁ
2015,685.3778271249132,AMAZONAS
2015,960.286785420492,RONDÔNIA
2014,188.71164628895505,RORAIMA
2014,138.5279231080872,MARANHÃO
2014,347.5472081592467,ACRE
2014,11.882300542078319,TOCANTINS
2014,1012.4170659975256,MATO GROSSO
2014,1794.2191382972364,PARÁ
2014,29.078309765401677,AMAPÁ
2014,551.4032485274372,AMAZONAS
2014,761.3426140746809,RONDÔNIA
2013,24.20834368490844,AMAPÁ
2013,159.15045577005594,MARANHÃO
2013,199.52688981966313,ACRE
2013,18.239930881815425,TOCANTINS
2013,1000.2958247162198,MATO GROSSO
2013,2097.586647117507,PARÁ
2013,148.0608076389034,RORAIMA
2013,480.0194797971108,AMAZONAS
2013,961.5246496871893,RONDÔNIA
2012,19.291051027319526,AMAPÁ
2012,116.92797042801391,MARANHÃO
2012,691.588715053312,RONDÔNIA
2012,10.393396519121309,TOCANTINS
2012,703.9949672864179,MATO GROSSO
2012,1698.2383834435657,PARÁ
2012,107.41627725562222,RORAIMA
2012,470.7798157254519,AMAZONAS
2012,270.41590519546577,ACRE
2011,16.6068820115952,AMAPÁ
2011,173.64323558853852,MARANHÃO
2011,763.578018057203,RONDÔNIA
2011,12.3098256197423,TOCANTINS
2011,918.8515843319445,MATO GROSSO
2011,2510.1168152271216,PARÁ
2011,129.6031212830877,RORAIMA
2011,507.29986254434056,AMAZONAS
2011,295.56411619076925,ACRE
2010,70.95927319232695,AMAPÁ
2010,245.68334575306415,MARANHÃO
2010,265.1099183157304,ACRE
2010,28.931434062287874,TOCANTINS
2010,681.1798462627984,MATO GROSSO
2010,3316.6650722174527,PARÁ
2010,235.05734036517615,RORAIMA
2010,545.1229454114206,AMAZONAS
2010,431.2297268307795,RONDÔNIA
2009,47.425649739689675,AMAPÁ
2009,454.32278593988406,MARANHÃO
2009,161.67147659423438,ACRE
2009,23.443691564978693,TOCANTINS
2009,719.6762814519518,MATO GROSSO
2009,3558.43691968763,PARÁ
2009,111.3313827626001,RORAIMA
2009,344.1402641188163,AMAZONAS
2009,425.16187611968707,RONDÔNIA
2008,99.66646602458881,AMAPÁ
2008,731.9529908122042,MARANHÃO
2008,288.9248672744403,ACRE
2008,56.419970276556306,TOCANTINS
2008,3111.590278399561,MATO GROSSO
2008,5636.554457951407,PARÁ
2008,665.3083350238469,RORAIMA
2008,611.7668335391343,AMAZONAS
2008,1085.314202892743,RONDÔNIA